query,intent_category,answer_1,answer_2,answer_3,completeness_1,factuality_1,usefulness_1,completeness_2,factuality_2,usefulness_2,completeness_3,factuality_3,usefulness_3
Μέχρι στιγμής επιτυγχάνουν τα εμβόλια το στόχο τους;,faq,"από τις 11 Απριλίου 2021, το COVAX υπολείπεται του στόχου του, έχοντας παραδώσει 38,5 εκατομμύρια δόσεις παρά τον στόχο των 100 εκατομμυρίων δόσεων μέχρι το τέλος Μαρτίου","Τα εμβόλια, από τις 11 Απριλίου 2021, δεν έχουν ακόμη επιτύχει πλήρως το στόχο τους λόγω της υποαπόδοσης του COVAX. Ωστόσο, ο ΠΟΥ έχει εγκρίνει αρκετά εμβόλια, όπως τα εμβόλια των Pfizer-BioNTech, Moderna, Sinopharm BBIBP-CorV, Οξφόρδης-AstraZeneca και Johnson & Johnson, τα οποία μπορούν να διανεμηθούν ως μέρος του COVAX. Ο ΠΟΥ στοχεύει να διασφαλίσει ότι όλοι όσοι διατρέχουν κίνδυνο σοβαρής νόσου ή θανάτου θα έχουν πρόσβαση σε αυτά τα ασφαλή και αποτελεσματικά εμβόλια το συντομότερο δυνατό. Η ολοκλήρωση του αρχικού σχήματος εμβολιασμού θα γίνει με το νέο εμβόλιο για τους ατελώς εμβολιασμένους πολίτες.","Το εμβόλιο κατά του κορωνοϊού έχει τα οφέλη που διαθέτει κάθε εμβόλιο το οποίο προστατεύει από ανεπιθύμητη ασθένεια. Ειδικότερα, με τον εμβολιασμό κατά του κορωνοϊού προκαλείται ανοσιακή απόκριση, με αποτέλεσμα να μειώνεται ο κίνδυνος κατά 90% ή και περισσότερο με τα εμβόλια mRNA, ενώ J&J Janssen το ποσοστό αποτελεσματικότητας του εμβολίου είναι περίπου 70%. Επιπλέον, οι πιθανότητες να μεταδώσεις τον ιό σε άλλους αφού εμβολιστείς μειώνονται, χωρίς ωστόσο να εξαλείφονται πλήρως. Θα σου πρότεινα, αφού συμβουλευτείς το γιατρό σου, να κλείσεις άμεσα ραντεβού για τον εμβολιασμό σου.",3,4,3,4,4,3,5.0,4.0,5.0
Η μάσκα προστατεύει μόνο από τον κορωνοϊό;,faq,Εφόσον χρησιμοποιείται σωστά προστατεύει από τη μετάδοση αναπνευστικών νοσημάτων που μεταδίδονται με σταγονίδια 3.,"Η σωστή χρήση της μάσκας προστατεύει από την μετάδοση αναπνευστικών νοσημάτων όπως ο COVID-19, συμπεριλαμβανομένων των σταγονιδίων. Η χρήση μάσκας είναι απαραίτητη για την προστασία τόσο των ατόμων που νοσούν όσο και των ατόμων που εμφανίζουν συμπτώματα λοίμωξης. Ωστόσο, είναι σημαντικό να σημειωθεί ότι ενώ οι μάσκες μπορούν να προσφέρουν προστασία, δεν είναι ο μοναδικός τρόπος προστασίας από τον ιό. Θα πρέπει να συνδυάζονται με άλλες πρακτικές, όπως η τήρηση αποστάσεων, η σωστή υγιεινή των χεριών και η αποφυγή στενής επαφής με άλλους. Επιπλέον, η παρατεταμένη χρήση ιατρικών μασκών μπορεί να είναι δυσάρεστη αλλά δεν οδηγεί σε δηλητηρίαση από CO2 ή έλλειψη οξυγόνου.","Η μάσκα προσφέρει προστασία από τη μετάδοση του κορωνοϊού. Η συστηματική χρήση μάσκας, βέβαια, προστατεύει από τη γρίπη, καθώς και από άλλες ιογενείς λοιμώξεις του αναπνευστικού συστήματος.",4,5,4,5,5,5,4.0,4.0,4.0
Πότε έχω ανοσία μετά το εμβόλιο;,faq,3,"Μετά το εμβόλιο COVID-19, η ανοσία συνήθως ξεκινά μέσα σε 2 εβδομάδες. Η διάρκεια της ανοσίας εξαρτάται από το εμβόλιο, αλλά συνήθως διαρκεί 6 μήνες έως 1 χρόνο. Αφού ολοκληρώσετε τη σειρά εμβολιασμού σας, μπορείτε να συνεχίσετε να λαμβάνετε το COVID-19. Μπορεί να χρειαστεί να κάνετε επιπλέον δόσεις ή να λάβετε διαφορετικό τύπο εμβολίου ανάλογα με τις οδηγίες από τους επαγγελματίες υγείας. Είναι σημαντικό να σημειώσουμε ότι τα εμβόλια COVID-19 δεν είναι 100% αποτελεσματικά, επομένως μπορεί να είναι πιθανή η επαναλοίμωξη. Ωστόσο, οι εμβολιασμοί μειώνουν σημαντικά τον κίνδυνο σοβαρών ασθενειών και θανάτων. Επιπλέον, τα επικαιροποιημένα εμβόλια κατά του κορωνοϊού μπορούν να χορηγηθούν την ίδια μέρα με το αντιγριπικό εμβόλιο, αλλά σε διαφορετικά σημεία.",Πλήρως εμβολιασμένος θεωρείσαι 14 ημέρες μετά τη δεύτερη δόση του εμβολίου δύο δόσεων ή τη μία δόση του μονοδοσικού εμβολίου.,1,2,1,5,4,5,3.0,4.0,4.0
μπορώ να ταξιδέψω στο εξωτερικό?,out_of_scope,"μπορεί να εξακολουθείτε να ελέγχεστε κατά την είσοδο ή την έξοδο από έναν τόπο, προορισμό ή χώρα.","Λαμβάνοντας υπόψη τις πληροφορίες που δόθηκαν, δεν είναι δυνατό να ταξιδέψετε στο εξωτερικό λόγω των ταξιδιωτικών περιορισμών και των κανονισμών ασφαλείας που έχουν τεθεί σε ισχύ λόγω της πανδημίας του COVID-19. Είναι σημαντικό να ακολουθείτε όλες τις οδηγίες και τις κατευθυντήριες γραμμές που παρέχονται από τις κυβερνητικές αρχές και να δίνετε προτεραιότητα στην ασφάλεια και την ευημερία σας.",,3,4,3,5,4,4,,,
Πού κάνουν τεστ για κορωνοϊό,out_of_scope,"Εθνικό Εργαστήριο Αναφοράς Γρίπης και λοιπών Αναπνευστικών Ιών Νοτίου Ελλάδος, Ελληνικό Ινστιτούτο Παστέρ 2. Κέντρο Αναφοράς Γρίπης Β. Ελλάδος, Β' Εργαστήριο Μικροβιολογίας Ιατρικό Τμήμα, Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης","Το τεστ για κορωνοϊό μπορεί να γίνει σε οποιοδήποτε από τα παρακάτω εργαστήρια: 1. Εθνικό Εργαστήριο Αναφοράς Γρίπης και Λοιπών Αναπνευστικών Ιών Νοτίου Ελλάδος, Ελληνικό Ινστιτούτο Παστέρ 2. Κέντρο Αναφοράς Γρίπης Β. Ελλάδος, Β' Εργαστήριο Μικροβιολογίας Ιατρικό Τμήμα, Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης.",,1,2,1,1,2,1,,,
Πού μπορώ να κάνω τεστ ιδιωτικά,out_of_scope,Όχι.,"Μπορείτε να κάνετε τεστ ιδιωτικά σε φαρμακεία ή άλλα κέντρα δοκιμών που προσφέρουν τεστ COVID-19. Δεν χρειάζεται να δηλώσετε τα αποτελέσματα των τεστ στις αρχές, αλλά είναι σημαντικό να ακολουθείτε τις οδηγίες του ΕΟΔΥ για την ιχνηλάτηση και την επιδημιολογική επιτήρηση.",,1,2,1,5,5,4,,,
Προκαλεί επακόλουθες επιπλοκές ο κορωνοϊός στους ασθενείς;,out_of_scope,"Ορισμένοι ασθενείς που έλαβαν αναστολείς του υποδοχέα IL-6 ενδέχεται να διατρέχουν υψηλότερο κίνδυνο για επιπλοκές και πρέπει να παρακολουθούνται στενά. Σε αυτούς περιλαμβάνονται οι ασθενείς που λαμβάνουν ταυτόχρονη ανοσοκατασταλτική θεραπεία, οι ασθενείς με επαναλαμβανόμενες χρόνιες λοιμώξεις ή υποκείμενες παθήσεις που τους προδιαθέτουν σε λοιμώξεις και οι οποίοι λαμβάνουν μακροχρόνια αναστολείς των υποδοχέων IL-6 για χρόνιες ιατρικές παθήσεις. Πόσο ακριβοί είναι οι αναστολείς των υποδοχέων IL-6;
Είναι ευρέως διαθέσιμα; Επί του παρόντος, το tocilizumab και το sarilumab είναι ακριβά και σε έλλειψη σε παγκόσμιο επίπεδο.","Ναι, ο κορωνοϊός μπορεί να προκαλέσει επακόλουθες επιπλοκές στους ασθενείς. Παράγοντες που αυξάνουν τον κίνδυνο σοβαρών επιπλοκών περιλαμβάνουν την ηλικία, την παχυσαρκία, την αρτηριακή υπέρταση και τον σακχαρώδη διαβήτη. Οι έγκυες γυναίκες με συμπτώματα διατρέχουν επίσης αυξημένο κίνδυνο εισαγωγής σε ΜΕΘ και αυξημένης πιθανότητας θανάτου. Οι έγκυες με Covid εμφανίζουν συχνότερα επιπλοκές της κύησης, όπως είναι ο πρόωρος τοκετός σε σύγκριση με τις έγκυες χωρίς Covid. Η ενδομήτρια μετάδοση είναι σπάνια. Ωστόσο, ορισμένοι ασθενείς που λαμβάνουν αναστολείς του υποδοχέα IL-6 ενδέχεται να διατρέχουν υψηλότερο κίνδυνο για επιπλοκές και πρέπει να παρακολουθούνται στενά. Οι επιπλοκές μπορούν να περιλαμβάνουν πνευμονία και σύνδρομο οξείας αναπνευστικής δυσχέρειας, θρομβοεμβολικά επεισόδια και το σύνδρομο μακρού COVID.",,1,4,2,5,5,5,,,
Ο εμβολιασμένος δεν θα τηρεί πλέον τα μέτρα προστασίας;,faq,Έχουν ανασταλεί λόγω κορονοϊού; Δεν υφίσταται αναστολή,Το κείμενο δεν παρέχει καμία πληροφορία σχετικά με το αν ο εμβολιασμένος δεν θα τηρεί πλέον τα μέτρα προστασίας.,"Αφού εμβολιαστείς θα πρέπει να εξακολουθείς να τηρείς τα μέτρα προστασίας από τον κορωνοϊό, καθώς ο εμβολιασμός δεν σημαίνει οτι δεν θα κολλάς ή μεταδίδεις τον κορωνοϊό, αυτό που αλλάζει είναι η μείωση της πιθανότητας σοβαρής νόσησης.",3,5,5,5,5,5,2.0,3.0,3.0
σε όλη τη χώρα πραγματοποιούνται οι εμβολιασμοί;,faq,2021,"Οι εμβολιασμοί σε όλη τη χώρα πραγματοποιούνται πράγματι. Σύμφωνα με τις πληροφορίες που παρέχονται, μέχρι τις 21 Νοεμβρίου 2021, συνολικά 71 χώρες έχουν χορηγήσει άδεια χρήσης του Sputnik V ενώ 1.2 δισεκατομμύρια δόσεις του εμβολίου παραγγέλθηκαν από διάφορες χώρες του κόσμου. Επιπλέον, τα εμβόλια RNA ήταν τα πρώτα εμβόλια COVID-19 που εγκρίθηκαν στις Ηνωμένες Πολιτείες και την Ευρωπαϊκή Ένωση. Αυτά περιλαμβάνουν το εμβόλιο Pfizer-BioNTech COVID-19 και το εμβόλιο Moderna COVID-19. Τα εμβόλια ιικών φορέων (non-replicating viral vector) όπως το CVnCoV RNA της CureVac αναμένουν επίσης έγκριση στην ΕΕ.","Οι εμβολιασμοί πραγματοποιούνται σε εμβολιαστικά κέντρα σε όλη την Ελλάδα, τα οποία είναι συνήθως νοσοκομεία ή κέντρα υγείας. Όταν κλείνεις το ραντεβού σου για εμβολιασμό, εντοπίζεις τα πλησιέστερα κέντρα με βάση τον ταχυδρομικό κώδικα της περιοχής σου. Εκτός από αυτό, παρέχεται και η δυνατότητα για κατ’ οίκον εμβολιασμό των ατόμων με δυσκολίες στην μετακίνηση.",1,5,1,1,5,1,4.0,5.0,4.0
Η κλιματική αλλαγή ευθύνεται για τον κορωνοϊό;,out_of_scope,Η κλιματική αλλαγή είναι μια σταδιακά αυξανόμενη πίεση που μπορεί να αποτελέσει την καθοριστική απειλή για τη δημόσια υγεία του 21ου αιώνα.,"Όχι, η κλιματική αλλαγή δεν ευθύνεται άμεσα για τον κορωνοϊό. Η κλιματική αλλαγή μπορεί να επιδεινώσει ορισμένες καταστάσεις, όπως η αύξηση της ζέστης και της υγρασίας, οι οποίες θα μπορούσαν ενδεχομένως να αυξήσουν τη διάδοση του COVID-19, αλλά δεν είναι ο λόγος πίσω από την εμφάνισή του. Το COVID-19 είναι μια μολυσματική ασθένεια που προκαλείται από έναν συγκεκριμένο τύπο κορωνοϊού, και η εμφάνισή του δεν μπορεί να αποδοθεί άμεσα στην κλιματική αλλαγή.",,1,5,1,5,5,5,,,
